Year,Country,Length of Operational Lines (km)
2018,China,26869
2018,Spain,3100
2018,Japan,3041
2018,France,3220
2018,Germany,3038
2018,Sweden,1706
2018,United Kingdom,1377
2018,South Korea,1104
2018,Italy,999
2018,Turkey,802
2018,Russia,845
2018,Finland,609
2018,Uzbekistan,600
2018,Austria ,352
2018,Taiwan,354
2018,Belgium,326
2018,Poland,224
2018,Netherlands,175
2018,Switzerland,144
2018,Luxembourg,142
2018,Norway,64
2018,United States of America,54
